"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.06939235449447e-276,-0.471441222696128,0.64,0.719,2.2645452498775e-272,"EIF3E"
0,-0.471455719661089,0.866,0.88,0,"EEF2"
1.97890398893734e-78,-0.473153069462764,0.228,0.301,4.19052708697371e-74,"AKAP9"
5.0573450898892e-121,-0.473552446444103,0.252,0.346,1.07094339623494e-116,"NOP58"
2.21947150258943e-110,-0.474388290276274,0.181,0.262,4.69995285388337e-106,"WDR33"
0,-0.476751037352304,0.606,0.732,0,"RBM39"
5.39529566571558e-319,-0.479005304282122,0.872,0.873,1.14250781017193e-314,"SARAF"
5.08435334856444e-234,-0.479017035236726,0.418,0.553,1.07666266509201e-229,"SF3B1"
1.93774678445754e-132,-0.479189580145462,0.222,0.319,4.10337259076728e-128,"GTF2B"
3.09423181983626e-131,-0.479736842321767,0.281,0.38,6.55234530168525e-127,"SDCBP"
1.33062359993743e-87,-0.481443872872546,0.203,0.277,2.8177285352275e-83,"ZNF292"
7.78997122559555e-115,-0.484494999349202,0.273,0.369,1.64960430673211e-110,"GPBP1"
4.42244073268625e-187,-0.49425041596362,0.429,0.54,9.3649604955364e-183,"NDFIP1"
7.08226169072437e-96,-0.496574409061674,0.187,0.264,1.49973973562779e-91,"ANKRD10"
4.01399207923104e-120,-0.500493755464938,0.169,0.253,8.50002962697964e-116,"EBLN3"
9.00955970067314e-154,-0.500715438727178,0.272,0.379,1.90786436221454e-149,"TC2N"
3.84055934844148e-85,-0.502973855547861,0.214,0.288,8.13276847625969e-81,"JMJD1C"
7.05744953558532e-102,-0.507010893722718,0.18,0.258,1.49448551365555e-97,"CDK17"
4.16485009702135e-174,-0.507862451951765,0.39,0.499,8.81948656545241e-170,"RHOH"
0,-0.515248537344802,0.64,0.752,0,"ZFAS1"
2.86287808846949e-120,-0.516939722439405,0.24,0.33,6.06243064014299e-116,"S1PR1"
3.96201935078667e-142,-0.51695106358199,0.425,0.525,8.38997217722586e-138,"HSPA5"
1.69125435949964e-174,-0.517314957961488,0.224,0.336,3.58140023167644e-170,"CIR1"
2.18851259249234e-197,-0.519577653242802,0.949,0.97,4.63439426586178e-193,"MT.ND4"
3.50031363883082e-109,-0.520026884342887,0.223,0.31,7.41226416158814e-105,"DHX36"
4.9939965684516e-169,-0.522134320752838,0.267,0.382,1.05752871333531e-164,"SERINC1"
3.72157128428137e-91,-0.523136949961134,0.203,0.278,7.88079935159424e-87,"DYNC1H1"
2.88256416925216e-53,-0.524970878614716,0.215,0.27,6.10411788480837e-49,"CDC42EP3"
7.42184352197644e-118,-0.527205184802618,0.373,0.457,1.57164958421373e-113,"PIK3R1"
8.16839507788215e-83,-0.528870918574274,0.19,0.26,1.72973934169232e-78,"TMEM259"
5.84800916130308e-153,-0.535400302783865,0.253,0.358,1.23837441999754e-148,"CD96"
5.80076744286797e-201,-0.54468513967988,0.373,0.499,1.22837051370172e-196,"CYCS"
4.67769201049465e-138,-0.54788778630987,0.186,0.278,9.90548060142347e-134,"BIRC3"
3.0467180025106e-257,-0.550752204913103,0.962,0.979,6.45173004211645e-253,"MT.ND2"
7.68845965114069e-233,-0.554117895551693,0.49,0.617,1.62810821572555e-228,"IRF1"
1.06476667687634e-96,-0.554898303968404,0.269,0.352,2.25474991495334e-92,"HNRNPH1"
1.83992803457744e-173,-0.557438476954587,0.231,0.342,3.89623160602118e-169,"PHF3"
4.42324756097869e-143,-0.567239331653845,0.248,0.35,9.36666903512847e-139,"TMEM2"
3.02959960265491e-290,-0.572625380578371,0.407,0.554,6.41548011858203e-286,"DDX24"
0,-0.575136510214739,0.863,0.904,0,"PNRC1"
5.14601557615669e-141,-0.580919865624469,0.207,0.305,1.08972025840694e-136,"PTBP1"
3.06825582051049e-128,-0.584070328953301,0.169,0.255,6.49733852551301e-124,"NR1D2"
4.1460398787594e-178,-0.586734246780677,0.421,0.535,8.7796540472609e-174,"CCNL1"
4.74246307731963e-176,-0.588066257626051,0.259,0.372,1.0042639812532e-171,"HSPA9"
0,-0.589972025922272,0.987,0.994,0,"MT.ATP6"
5.90659108503556e-132,-0.604602835275539,0.176,0.263,1.25077972816713e-127,"CMC2"
2.43072330539366e-151,-0.605709494391314,0.236,0.339,5.14729967150162e-147,"SNRNP70"
8.9307671004075e-154,-0.607817190702201,0.17,0.263,1.89117924118229e-149,"PDE4D"
1.35334194518782e-135,-0.608706754222009,0.175,0.263,2.86583690312973e-131,"HBP1"
2.22189435229191e-137,-0.609354594949106,0.226,0.321,4.70508348041334e-133,"CHD2"
1.33349456669119e-237,-0.609708762376882,0.244,0.377,2.82380809442526e-233,"SNRPA1"
2.76612652075785e-201,-0.611066852697808,0.204,0.32,5.85754952035682e-197,"C6orf48"
3.56945336208756e-235,-0.629623467797109,0.266,0.397,7.55867443955662e-231,"PDE4B"
3.49295901407245e-267,-0.633213623845047,0.348,0.49,7.39669000819982e-263,"DNAJB6"
0,-0.633455759035973,0.971,0.986,0,"HLA.B"
1.07742550169353e-251,-0.652964203712282,0.333,0.467,2.28155624238621e-247,"STAT3"
3.37766685489715e-179,-0.65377166706214,0.2,0.306,7.1525473319302e-175,"DNTTIP2"
1.07297919285478e-101,-0.660982574955151,0.195,0.269,2.27214073878928e-97,"ERN1"
5.94128992041833e-261,-0.66263777020919,0.475,0.591,1.25812755354779e-256,"ZFP36L1"
2.79782171854038e-128,-0.664238259124144,0.271,0.362,5.92466727118111e-124,"UPP1"
6.52186184471571e-219,-0.665050015508665,0.253,0.378,1.381069464237e-214,"ATF4"
7.79556454711306e-194,-0.672958531969097,0.238,0.352,1.65078874849666e-189,"NKTR"
5.75363144578807e-163,-0.674060020471143,0.229,0.332,1.21838899496008e-158,"OGT"
6.76819773358424e-238,-0.678725279534628,0.29,0.423,1.4332335520638e-233,"YME1L1"
5.81378833064835e-168,-0.69795418194593,0.161,0.257,1.2311278168981e-163,"MECP2"
9.41320003600659e-284,-0.700082271728283,0.338,0.486,1.99333923962476e-279,"WSB1"
1.89850434170618e-176,-0.716396621271878,0.171,0.267,4.02027279399701e-172,"IL6ST"
6.57140423898958e-190,-0.718724668819646,0.162,0.264,1.39156056164843e-185,"PAG1"
4.98967172769009e-160,-0.732849195666676,0.173,0.268,1.05661288505565e-155,"PPP1CB"
3.0575949435157e-202,-0.739678222747252,0.259,0.37,6.47476305238885e-198,"NSMCE3"
1.12982068852085e-186,-0.739868749016406,0.164,0.266,2.39250829001176e-182,"SEMA4D"
8.58034233635234e-244,-0.740593473285185,0.215,0.343,1.81697329314597e-239,"LINC.PINT"
0,-0.741080689968944,0.573,0.725,0,"CYTIP"
2.20161638186445e-215,-0.743039298961966,0.224,0.341,4.66214285023615e-211,"FAM177A1"
0,-0.743263585454224,0.787,0.841,0,"ZFP36"
0,-0.745514988262866,0.548,0.674,0,"CD69"
8.6889385755047e-245,-0.755095687659438,0.205,0.329,1.83996963274887e-240,"HIF1A"
5.05216171106829e-271,-0.756612281310974,0.23,0.36,1.06984576393582e-266,"LEF1"
0,-0.760956833845712,0.436,0.589,0,"SNHG8"
5.99236586202174e-275,-0.769610390269708,0.18,0.312,1.26894339494172e-270,"LUC7L2"
4.1964027620094e-142,-0.780515577676467,0.223,0.315,8.8863024888311e-138,"XIST"
0,-0.783141739268272,0.266,0.42,0,"RASA3"
